name,acidity,fizziness,intensity,sweetness,tannin,price_euros,rank,ratings_average
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,4.508223,4.3527966,3.999383,,,2882.5,1,4.8
Toscana,3.1028588,,3.6077247,1.9779595,3.1404293,4910.0,1,4.8
Toscana,3.1028588,,3.6077247,1.9779595,3.1404293,4697.5,1,4.8
Cabernet Sauvignon,3.304091,,4.7008004,1.7583516,3.3939934,1558.75,1,4.8
Bolgheri Superiore,3.4603708,,3.877706,1.788846,3.8922803,425.0,1,4.7
Toscana,3.1028588,,3.6077247,1.9779595,3.1404293,4697.5,1,4.7
Châteauneuf-du-Pape,3.0970612,,4.3464823,2.080589,2.7852674,3308.75,1,4.7
Toscana,3.1028588,,3.6077247,1.9779595,3.1404293,4163.75,1,4.7
Châteauneuf-du-Pape,3.0970612,,4.3464823,2.080589,2.7852674,3395.0,1,4.7
Châteauneuf-du-Pape,3.0970612,,4.3464823,2.080589,2.7852674,3395.0,1,4.7
Château Margaux (Premier Grand Cru Classé),4.170338,,3.6746032,1.6031541,3.8258963,1077.51,1,4.7
Barbaresco,4.6545653,,3.6966581,1.6031228,4.015384,597.5,1,4.7
Châteauneuf-du-Pape,3.0970612,,4.3464823,2.080589,2.7852674,3181.25,1,4.7
Vin de Pays de l'Hérault,3.696465,,3.884239,1.8121092,3.4815395,683.75,1,4.6
Barbaresco,4.6545653,,3.6966581,1.6031228,4.015384,470.0,1,4.6
Saint-Julien (Grand Cru Classé),4.1830826,,3.7725508,1.5905166,3.828993,533.75,1,4.6
Sperss Barolo,4.666537,,3.8432937,1.6009856,4.3828244,618.75,1,4.6
Tordiz 40 Year Old Tawny Port,3.2046902,,4.314804,4.119861,,337.5,1,4.6
Gaia & Rey Langhe,3.221216,,3.8312788,2.4886413,,472.5,1,4.6
Tinto,3.5793161,,3.9910455,1.8429217,3.4551678,42.95,1,4.5
Vin de Pays de l'Hérault,3.696465,,3.884239,1.8121092,3.4815395,683.75,1,4.5
Valpolicella Superiore Monte Lodoletta,3.5089638,,3.4422984,2.3023562,2.86965,243.75,1,4.5
Corton-Charlemagne Grand Cru,3.3309574,,3.7657247,1.629022,,811.25,1,4.5
Clos Sainte Hune Riesling Alsace,4.4354753,,3.1274526,2.3837361,,600.0,1,4.5
Vin de Pays de l'Hérault Blanc,3.0531123,,3.6108928,1.9149225,,961.25,1,4.5
Chateau Buena Vista Cabernet Sauvignon Napa Valley,3.289551,,4.6980953,1.6918944,3.2363372,61.95,1,4.4
Guerriero della Terra,2.8807938,,3.6754673,2.8497944,2.6898563,27.4,1,4.4
60 Sessantanni Old Vines Primitivo di Manduria,1.789258,,4.082944,3.1701102,2.2129438,24.75,1,4.4
Amarone della Valpolicella Classico,2.2436204,,4.763678,3.249773,2.2276826,49.8,1,4.4
Palo Cortado Tradición Vors 30 Years Sherry,3.5983322,,3.8781807,2.4819863,,99.95,1,4.4
Reserva Ribera del Duero,3.7252333,,3.9380832,1.7908615,3.561232,39.55,1,4.4
Vacqueyras,3.4521956,,3.8238244,1.9571805,3.1417801,250.0,1,4.4
Nine Popes,2.9806938,,4.7206755,1.9145173,3.1510305,114.6,1,4.4
Nine Popes,2.9806938,,4.7206755,1.9145173,3.1510305,114.6,1,4.4
Pauillac (Premier Grand Cru Classé),4.117049,,3.9883592,1.6689028,4.1171813,1900.0,2,4.8
Pauillac (Premier Grand Cru Classé),4.117049,,3.9883592,1.6689028,4.1171813,1900.0,2,4.8
Grand Vin Pauillac (Premier Grand Cru Classé),4.134296,,4.1281376,1.6716481,4.1408772,1686.25,2,4.8
Toscana,3.1028588,,3.6077247,1.9779595,3.1404293,4697.5,2,4.8
Tenuta Tignanello 'Solaia',3.0641637,,3.4507132,1.8885487,2.9705827,705.0,2,4.7
Bolgheri Superiore,3.4603708,,3.877706,1.788846,3.8922803,533.75,2,4.7
Bolgheri Superiore,3.4603708,,3.877706,1.788846,3.8922803,425.0,2,4.7
Amarone della Valpolicella Monte Lodoletta,2.235851,,4.8174415,3.3512034,2.4933603,616.25,2,4.7
Tenuta Tignanello 'Solaia',3.0641637,,3.4507132,1.8885487,2.9705827,1473.75,2,4.7
Amarone della Valpolicella Monte Lodoletta,2.235851,,4.8174415,3.3512034,2.4933603,697.5,2,4.7
Madonna delle Grazie Brunello di Montalcino,3.8020136,,3.4241893,1.78457,3.6632488,1046.25,2,4.7
Lupi Rezerva,,,,,,36.55,2,4.6
Saint-Julien (Grand Cru Classé),4.1830826,,3.7725508,1.5905166,3.828993,533.75,2,4.6
Grand Vin de Château Palmer (Grand Cru Classé),4.143142,,3.7460737,1.696457,3.7986615,832.5,2,4.6
Grand Vin de Château Palmer (Grand Cru Classé),4.143142,,3.7460737,1.696457,3.7986615,832.5,2,4.6
Barolo Riserva,4.5947633,,3.7636836,1.5603285,4.283502,470.0,2,4.6
Sassicaia,3.488095,,3.7838812,1.7056901,3.8796737,2668.75,2,4.6
Pomerol,3.425362,,4.233659,1.6924726,3.5278409,762.0,2,4.6
